2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 189.14 ms | Cache MISS
2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 289.51 ms | Cache MISS
2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.88 ms | Cache MISS
2025-10-28 08:52:48 | tuhafhaberler.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 171.05 ms | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 278.59 ms | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.65 ms | Cache MISS
2025-10-28 08:52:49 | rtsab.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 157.41 ms | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 280.10 ms | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 104.67 ms | Cache MISS
2025-10-28 08:52:50 | i-butterfly.ru | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 171.70 ms | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 273.63 ms | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 104.99 ms | Cache MISS
2025-10-28 08:52:51 | datepanchang.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 172.52 ms | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 272.13 ms | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 83.62 ms | Cache MISS
2025-10-28 08:52:52 | daehepharma.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 160.59 ms | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 271.91 ms | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 78.84 ms | Cache MISS
2025-10-28 08:52:53 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 159.37 ms | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 273.42 ms | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 104.74 ms | Cache MISS
2025-10-28 08:52:54 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 159.11 ms | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 273.32 ms | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 105.21 ms | Cache MISS
2025-10-28 08:52:54 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 160.52 ms | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 273.07 ms | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 126.49 ms | Cache MISS
2025-10-28 08:52:55 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 171.98 ms | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 269.05 ms | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 92.82 ms | Cache MISS
2025-10-28 08:52:56 | buynowfromusa.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:57 | pbprofile.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 161.10 ms | Cache MISS
2025-10-28 08:52:57 | pbprofile.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:52:57 | pbprofile.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 272.34 ms | Cache MISS
