2025-10-28 09:37:00 | likeminded.ca | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 235.08 ms | Cache MISS
2025-10-28 09:37:00 | likeminded.ca | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:00 | likeminded.ca | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 298.05 ms | Cache MISS
2025-10-28 09:37:00 | likeminded.ca | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:00 | likeminded.ca | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 145.25 ms | Cache MISS
2025-10-28 09:37:00 | likeminded.ca | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 189.64 ms | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.56 ms | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 146.09 ms | Cache MISS
2025-10-28 09:37:01 | alltransport.ru | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 172.14 ms | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.61 ms | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 117.67 ms | Cache MISS
2025-10-28 09:37:02 | brown.edu | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 203.17 ms | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 302.25 ms | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.93 ms | Cache MISS
2025-10-28 09:37:03 | fauzanalfi.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.93 ms | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.34 ms | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.32 ms | Cache MISS
2025-10-28 09:37:04 | supreetsethi.net | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 190.28 ms | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 287.65 ms | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.22 ms | Cache MISS
2025-10-28 09:37:04 | gucenmez.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.83 ms | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 300.29 ms | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.70 ms | Cache MISS
2025-10-28 09:37:05 | seedy.dk | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
