2025-10-28 09:33:26 | tenant-internet.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 225.13 ms | Cache MISS
2025-10-28 09:33:26 | tenant-internet.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:26 | tenant-internet.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 310.35 ms | Cache MISS
2025-10-28 09:33:26 | tenant-internet.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:26 | tenant-internet.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 144.83 ms | Cache MISS
2025-10-28 09:33:26 | tenant-internet.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 189.86 ms | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 290.19 ms | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.70 ms | Cache MISS
2025-10-28 09:33:27 | gadanguides.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 182.16 ms | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 314.38 ms | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.50 ms | Cache MISS
2025-10-28 09:33:28 | charityjob.co.uk | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 191.70 ms | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.04 ms | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 130.30 ms | Cache MISS
2025-10-28 09:33:29 | sarahpartridge.net | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 191.65 ms | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.66 ms | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.70 ms | Cache MISS
2025-10-28 09:33:30 | ecolems.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.86 ms | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 300.86 ms | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 127.07 ms | Cache MISS
2025-10-28 09:33:31 | marilynlingerie.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 182.64 ms | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.91 ms | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.19 ms | Cache MISS
2025-10-28 09:33:32 | anvilnetworksolutions.net | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.04 ms | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.55 ms | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.98 ms | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 189.84 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.65 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.07 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.16 ms | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
