2025-10-28 09:30:23 | gustissimo.it | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 246.78 ms | Cache MISS
2025-10-28 09:30:23 | gustissimo.it | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:23 | gustissimo.it | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 324.23 ms | Cache MISS
2025-10-28 09:30:23 | gustissimo.it | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:23 | gustissimo.it | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 136.07 ms | Cache MISS
2025-10-28 09:30:23 | gustissimo.it | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 190.71 ms | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 304.61 ms | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.21 ms | Cache MISS
2025-10-28 09:30:24 | auto-klad.ru | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.10 ms | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 304.07 ms | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.72 ms | Cache MISS
2025-10-28 09:30:25 | iointegrators.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.67 ms | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 301.35 ms | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.35 ms | Cache MISS
2025-10-28 09:30:26 | daytimeghosthunter.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.89 ms | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.59 ms | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 135.98 ms | Cache MISS
2025-10-28 09:30:27 | sapendolo.it | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.55 ms | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 307.92 ms | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.74 ms | Cache MISS
2025-10-28 09:30:28 | saharaimport.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
